                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9588,                0.28533,                0.65737,                 4.2736,             0.00023767,             0.00023767,             0.00023767
                      2,                 2.3092,                0.61986,                0.87669,                 3.9718,             0.00045997,             0.00045997,             0.00045997
                      2,                 2.3092,                0.61986,                0.87669,                 3.9718,             0.00045997,             0.00045997,             0.00045997
                      3,                 1.6378,                0.70657,                0.91689,                 3.8541,             0.00066657,             0.00066657,             0.00066657
                      3,                 1.6378,                0.70657,                0.91689,                 3.8541,             0.00066657,             0.00066657,             0.00066657
                      4,                 1.3564,                0.73717,                0.92799,                 3.7855,             0.00064331,             0.00064331,             0.00064331
                      4,                 1.3564,                0.73717,                0.92799,                 3.7855,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1536,                0.78068,                0.93789,                 3.7375,             0.00061975,             0.00061975,             0.00061975
                      5,                 1.1536,                0.78068,                0.93789,                 3.7375,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.0164,                0.78908,                0.94389,                 3.7102,             0.00059619,             0.00059619,             0.00059619
                      6,                 1.0164,                0.78908,                0.94389,                 3.7102,             0.00059619,             0.00059619,             0.00059619
                      7,                 0.9174,                0.81278,                 0.9508,                 3.6917,             0.00057263,             0.00057263,             0.00057263
                      7,                 0.9174,                0.81278,                 0.9508,                 3.6917,             0.00057263,             0.00057263,             0.00057263
                      8,                0.82793,                0.81518,                  0.958,                 3.6737,             0.00054907,             0.00054907,             0.00054907
                      8,                0.82793,                0.81518,                  0.958,                 3.6737,             0.00054907,             0.00054907,             0.00054907
                      9,                 0.7704,                0.81728,                 0.9622,                 3.6684,              0.0005255,              0.0005255,              0.0005255
                      9,                 0.7704,                0.81728,                 0.9622,                 3.6684,              0.0005255,              0.0005255,              0.0005255
                     10,                0.71017,                0.83678,                 0.9571,                 3.6469,             0.00050194,             0.00050194,             0.00050194
                     10,                0.71017,                0.83678,                 0.9571,                 3.6469,             0.00050194,             0.00050194,             0.00050194
                     11,                0.65272,                0.83198,                 0.9601,                 3.6452,             0.00047838,             0.00047838,             0.00047838
                     11,                0.65272,                0.83198,                 0.9601,                 3.6452,             0.00047838,             0.00047838,             0.00047838
                     12,                0.62705,                0.83888,                 0.9598,                 3.6379,             0.00045482,             0.00045482,             0.00045482
                     12,                0.62705,                0.83888,                 0.9598,                 3.6379,             0.00045482,             0.00045482,             0.00045482
                     13,                0.58489,                0.84458,                 0.9604,                 3.6301,             0.00043126,             0.00043126,             0.00043126
                     13,                0.58489,                0.84458,                 0.9604,                 3.6301,             0.00043126,             0.00043126,             0.00043126
                     14,                0.54936,                0.84818,                 0.9616,                 3.6252,             0.00040769,             0.00040769,             0.00040769
                     14,                0.54936,                0.84818,                 0.9616,                 3.6252,             0.00040769,             0.00040769,             0.00040769
                     15,                0.51099,                0.84728,                 0.9631,                 3.6204,             0.00038413,             0.00038413,             0.00038413
                     15,                0.51099,                0.84728,                 0.9631,                 3.6204,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.4957,                0.85149,                 0.9643,                 3.6165,             0.00036057,             0.00036057,             0.00036057
                     16,                 0.4957,                0.85149,                 0.9643,                 3.6165,             0.00036057,             0.00036057,             0.00036057
                     17,                0.47077,                0.85869,                 0.9637,                 3.6109,             0.00033701,             0.00033701,             0.00033701
                     17,                0.47077,                0.85869,                 0.9637,                 3.6109,             0.00033701,             0.00033701,             0.00033701
                     18,                0.44032,                0.85269,                 0.9646,                 3.6114,             0.00031345,             0.00031345,             0.00031345
                     18,                0.44032,                0.85269,                 0.9646,                 3.6114,             0.00031345,             0.00031345,             0.00031345
                     19,                0.42448,                0.86349,                 0.9679,                 3.6018,             0.00028988,             0.00028988,             0.00028988
                     19,                0.42448,                0.86349,                 0.9679,                 3.6018,             0.00028988,             0.00028988,             0.00028988
                     20,                0.41099,                0.86079,                  0.967,                 3.6024,             0.00026632,             0.00026632,             0.00026632
                     20,                0.41099,                0.86079,                  0.967,                 3.6024,             0.00026632,             0.00026632,             0.00026632
                     21,                0.39417,                0.86439,                 0.9697,                 3.5983,             0.00024276,             0.00024276,             0.00024276
                     21,                0.39417,                0.86439,                 0.9697,                 3.5983,             0.00024276,             0.00024276,             0.00024276
                     22,                0.37407,                0.86469,                 0.9664,                 3.5971,              0.0002192,              0.0002192,              0.0002192
                     22,                0.37407,                0.86469,                 0.9664,                 3.5971,              0.0002192,              0.0002192,              0.0002192
                     23,                 0.3612,                0.86829,                 0.9682,                 3.5958,             0.00019564,             0.00019564,             0.00019564
                     23,                 0.3612,                0.86829,                 0.9682,                 3.5958,             0.00019564,             0.00019564,             0.00019564
                     24,                0.34231,                0.87069,                 0.9685,                 3.5925,             0.00017207,             0.00017207,             0.00017207
                     24,                0.34231,                0.87069,                 0.9685,                 3.5925,             0.00017207,             0.00017207,             0.00017207
                     25,                0.32212,                0.87099,                 0.9691,                 3.5894,             0.00014851,             0.00014851,             0.00014851
                     25,                0.32212,                0.87099,                 0.9691,                 3.5894,             0.00014851,             0.00014851,             0.00014851
