                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7178,                0.40744,                0.75188,                 4.1951,             0.00023767,             0.00023767,             0.00023767
                      2,                 1.9788,                0.67057,                0.89979,                 3.9001,             0.00045997,             0.00045997,             0.00045997
                      3,                 1.4658,                0.73117,                0.92589,                 3.8087,             0.00066657,             0.00066657,             0.00066657
                      4,                 1.2643,                0.75818,                0.93759,                 3.7555,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1036,                0.77678,                0.94059,                 3.7226,             0.00061975,             0.00061975,             0.00061975
                      6,                0.98224,                0.78518,                0.94689,                 3.7022,             0.00059619,             0.00059619,             0.00059619
                      7,                0.89389,                0.79958,                 0.9544,                 3.6892,             0.00057263,             0.00057263,             0.00057263
                      8,                0.80767,                0.80948,                 0.9514,                 3.6777,             0.00054907,             0.00054907,             0.00054907
                      9,                0.74714,                0.82028,                 0.9559,                  3.663,              0.0005255,              0.0005255,              0.0005255
                     10,                0.70752,                0.82058,                 0.9541,                 3.6526,             0.00050194,             0.00050194,             0.00050194
                     11,                0.63882,                0.82988,                 0.9562,                  3.646,             0.00047838,             0.00047838,             0.00047838
                     12,                0.61432,                0.82748,                 0.9556,                 3.6448,             0.00045482,             0.00045482,             0.00045482
                     13,                0.57838,                0.82898,                  0.955,                 3.6365,             0.00043126,             0.00043126,             0.00043126
                     14,                0.55372,                0.83828,                 0.9601,                 3.6315,             0.00040769,             0.00040769,             0.00040769
                     15,                0.51338,                0.84728,                 0.9592,                 3.6226,             0.00038413,             0.00038413,             0.00038413
                     16,                 0.4973,                0.84638,                 0.9574,                 3.6237,             0.00036057,             0.00036057,             0.00036057
                     17,                0.46945,                0.84008,                 0.9589,                 3.6246,             0.00033701,             0.00033701,             0.00033701
                     18,                0.43972,                0.84668,                 0.9613,                 3.6163,             0.00031345,             0.00031345,             0.00031345
                     19,                0.42997,                0.85419,                 0.9607,                 3.6118,             0.00028988,             0.00028988,             0.00028988
                     20,                0.41655,                0.85239,                 0.9613,                 3.6086,             0.00026632,             0.00026632,             0.00026632
                     21,                0.38807,                0.85089,                 0.9652,                 3.6087,             0.00024276,             0.00024276,             0.00024276
                     22,                0.37863,                0.85179,                 0.9619,                 3.6059,              0.0002192,              0.0002192,              0.0002192
                     23,                0.37927,                0.85839,                 0.9631,                 3.6035,             0.00019564,             0.00019564,             0.00019564
                     24,                0.36037,                0.86049,                 0.9655,                 3.6048,             0.00017207,             0.00017207,             0.00017207
                     25,                0.33732,                0.85839,                 0.9637,                  3.601,             0.00014851,             0.00014851,             0.00014851
                     26,                0.32967,                0.85539,                 0.9637,                 3.6008,             0.00012495,             0.00012495,             0.00012495
                     27,                0.32486,                0.86409,                 0.9625,                 3.5979,             0.00010139,             0.00010139,             0.00010139
                     28,                0.32402,                0.86289,                 0.9643,                 3.5943,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.32005,                0.86379,                 0.9652,                 3.5986,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.29519,                0.86319,                 0.9664,                 3.5968,             3.0702e-05,             3.0702e-05,             3.0702e-05
